sku,linhas_uplift,real_total,base_total,uplift_total,erro_base,erro_uplift,delta_erro,delta_pct
2824024,556,798553.0,749184.4097274086,793236.9723478383,49368.59027259145,5316.0276521616615,-44052.56262042979,-0.8923196384014833
3100123,21,16505.0,12543.42552652524,13644.89599357695,3961.5744734747605,2860.104006423049,-1101.4704670517112,-0.27803856129090865
31023266,2,352.0,245.58095238095237,256.16038956906544,106.41904761904763,95.83961043093456,-10.579437188113076,-0.09941300382601331
310236571,6,2411.0,2399.093656198199,2455.63193405647,11.906343801801086,44.63193405647007,32.72559025466899,2.7485843512866266
310236573,16,12557.0,9124.13496955064,9323.586764361544,3432.8650304493603,3233.413235638456,-199.45179481090418,-0.05810068063899268
31023925,15,1922.0,883.8395913697594,996.2275723423503,1038.1604086302405,925.7724276576497,-112.38798097259075,-0.10825685514329776
31023928,243,39042.0,54145.12603174603,88403.986468043,15103.126031746033,49361.986468043004,34258.86043629697,2.2683291104296237
31023931,1,142.0,255.30769230769232,260.4644871609509,113.30769230769232,118.46448716095091,5.156794853258589,0.04551142776127742
3102748530,39,1983.0,1097.607859469237,1407.8088468812812,885.3921405307631,575.1911531187188,-310.20098741204424,-0.35035434945931315
3102748531,552,78629.0,72383.46226750597,79809.28416894341,6245.537732494035,1180.2841689434135,-5065.253563550621,-0.8110196079990554
3102751369,24,947.0,682.7081619306971,992.8352975102359,264.2918380693029,45.83529751023593,-218.45654055906698,-0.82657316304177
3102751371,36,591.0,452.901951455883,886.723336773233,138.09804854411698,295.723336773233,157.625288229116,1.141401271711387
3102751373,43,1323.0,1005.278376379731,1535.9442321369258,317.72162362026904,212.94423213692585,-104.7773914833432,-0.3297773386949887
3102751465,567,108391.0,98739.82502855512,109623.6704332805,9651.174971444882,1232.6704332804948,-8418.504538164387,-0.8722776825694674
3102751467,549,57639.0,51452.128937728936,55327.497191061826,6186.871062271064,2311.502808938174,-3875.36825333289,-0.6263858118792487
3102751469,583,164123.0,146953.45503663004,174953.8881987857,17169.54496336996,10830.888198785688,-6338.656764584273,-0.3691802419986878
3102751471,567,172001.0,158618.87328486287,168207.22036626335,13382.126715137128,3793.7796337366453,-9588.347081400483,-0.7165039821775615
3102751473,574,236618.0,216053.2805686128,242695.35214296856,20564.719431387202,6077.352142968564,-14487.367288418638,-0.7044767781420389
3102751477,552,127015.0,117738.69784313726,125808.20197988399,9276.302156862745,1206.7980201160099,-8069.504136746735,-0.8699052704721134
31027517883,71,5897.0,6221.075939849624,7913.9160876965625,324.07593984962386,2016.9160876965625,1692.8401478469386,5.223590954121562
31027518011,8,213.0,192.06281512605042,236.8309809104759,20.937184873949576,23.830980910475887,2.893796036526311,0.13821323420259923
31027522597,43,915.0,650.2978471691707,1068.051181193284,264.7021528308293,153.05118119328404,-111.65097163754524,-0.4217985023676827
31027522600,39,1242.0,543.8459145021645,1583.3743382362586,698.1540854978355,341.3743382362586,-356.77974726157686,-0.5110329577276147
31027522603,21,503.0,382.38691123878493,821.0276841974572,120.61308876121507,318.02768419745723,197.41459543624217,1.6367593058418033
31027522606,17,455.0,261.26371757112724,414.9479741887561,193.73628242887276,40.05202581124388,-153.68425661762888,-0.7932652298830584
31027523978,14,292.0,220.59745775058275,307.72764001616633,71.40254224941725,15.727640016166333,-55.67490223325092,-0.7797327725219099
31027523981,1,254.0,35.10344827586207,40.52661884741471,218.89655172413794,213.4733811525853,-5.423170571552646,-0.02477503884294687
